kernel_id,LOC,BLC,UDF,I,EH,NVD,NEC,S,P,OPRND,OPRATOR,UOPRND,UOPRATOR,ID,LOCom,EAP,CW,ALID,MeanLCC,ALLC,KLCID,CyC,MLID,NBD,AID,CC,MC,MeanWMC,MeanLMC,H1,H2,H3,MW,LMC,PT,PT_bin,LOC_bin,NVD_bin,bal_group
21021069,44,0,0.0,3,0.0,5.0,1.0,0.0,45.0,54,16,54.0,10,154.0,18.0,0.3614307212698846,65.0,4.666666666666667,3.6666666666666665,24.70277777777778,3.4958333333333336,1.0,28,5.666666666666667,31,12,10.0,22.7,5.1,3.0,5.0,0.0,227.0,51.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
16240180,60,0,0.0,5,0.0,5.0,4.0,4.0,70.0,157,82,153.0,24,298.0,8.0,1.0787611061064872,52.0,4.307692307692308,4.615384615384615,41.118014464168304,6.717307692307693,1.0769230769230769,22,6.0,55,13,9.0,26.0,2.333333333333333,1.0,0.0,0.0,234.0,21.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
20210297,37,0,0.0,3,0.0,5.0,2.0,0.0,27.0,50,17,50.0,10,104.0,11.0,0.3614307212698846,21.0,5.5,3.083333333333333,22.62559523809524,3.1833333333333336,1.0,27,2.0,26,12,9.0,20.22222222222222,3.7777777777777777,3.0,4.0,0.0,182.0,34.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
6254810,35,1,0.0,5,0.0,4.0,5.0,0.0,28.0,54,15,54.0,8,99.0,2.0,1.6567057078708645,3.0,5.066666666666666,2.333333333333333,21.40858585858586,2.7972222222222225,1.0,13,2.333333333333333,21,15,12.0,33.166666666666664,5.0,10.0,0.0,0.0,398.0,60.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
4832119,41,0,0.0,3,0.0,4.0,2.0,2.0,22.0,46,16,46.0,10,146.0,15.0,0.054852349579475,78.0,5.0,3.4166666666666665,25.73333333333333,4.025595238095238,1.0833333333333333,20,7.5,34,12,12.0,23.08333333333333,3.0,3.0,0.0,3.0,277.0,36.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
30801597,46,0,0.0,3,0.0,6.0,1.0,0.0,42.0,67,19,67.0,10,131.0,20.0,0.3614307212698846,35.0,5.857142857142857,3.2857142857142856,21.560714285714287,3.0595238095238093,1.0,22,1.875,30,14,12.0,29.916666666666668,2.6666666666666665,3.0,6.0,0.0,359.0,32.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
9722705,49,0,3.0,2,0.0,3.0,2.0,2.0,21.0,58,25,56.0,15,165.0,12.0,0.048930234469861,68.0,5.363636363636363,4.454545454545454,25.2974025974026,3.694949494949495,1.0,19,6.25,46,11,9.0,38.888888888888886,5.666666666666667,3.0,4.0,0.0,350.0,51.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
2983515,42,0,0.0,3,0.0,4.0,3.0,10.0,32.0,99,56,78.0,14,146.0,11.0,0.4903555837941611,13.0,6.857142857142857,3.0,27.962585034013607,3.645238095238095,1.0,24,2.0,38,14,11.0,26.727272727272727,3.0,3.0,5.0,0.0,294.0,33.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
21487384,45,0,0.0,7,0.0,4.0,3.0,4.0,20.0,73,39,70.0,20,293.0,20.0,2.11576901721266,211.0,4.428571428571429,3.2142857142857144,44.1498599439776,6.758699633699634,1.1428571428571428,13,13.0,137,14,3.0,17.333333333333332,2.0,2.0,0.0,0.0,52.0,6.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
4547676,40,1,0.0,3,0.0,3.0,2.0,2.0,15.0,42,20,42.0,11,151.0,13.0,0.054852349579475,89.0,5.0,5.0,24.851704545454545,4.452976190476191,1.125,20,6.4,34,8,4.0,14.5,3.5,1.0,0.0,0.0,58.0,14.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
